$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
0.26523063533507396,0.11781984334203656,0.3714099216710183,0.25282854656222803,0.6439295039164491,0.9928198433420365,0.10422106179286336,0.6684073107049608,0.736727589208007
0.8432279909706546,0.16749435665914222,0.9477426636568849,0.7269751693002258,0.6063205417607224,0.7132054176072234,0.37144469525959367,0.5397291196388262,0.5942437923250564
0.6887037437784029,0.36799394070547503,0.8669119238260117,0.5240207747240857,0.43172473490586455,0.9466565678424583,0.4600735771478035,0.029539060809348625,0.6687946331962779
0.45881290904987587,0.21891220943353645,0.49063416835928686,0.8387497178966373,0.4794628751974723,0.38162942902279395,0.7807492665312571,0.5005642067253442,0.07436244640036109
0.022947221390801156,0.7404968572283748,0.285243938940437,0.38900528783797267,0.39020253417140577,0.6450164621370847,0.3497954704180385,0.45984236256609795,0.7931756958994313
0.3629283489096573,0.9393388715818622,0.0893042575285566,0.5815160955347871,0.8398234683281413,0.705607476635514,0.4935098650051921,0.0099515403253721,0.20240567670474213
0.561219946571683,0.015805877114870883,0.270146927871772,0.8746660730186999,0.2983081032947462,0.5729073909171861,0.9906500445235975,0.2192787177203918,0.39447907390917186
0.015773576462691577,0.6271395010627587,0.9148674348361114,0.989931759704665,0.10213670432934333,0.2509229220270724,0.8508781742924264,0.9778498713502629,0.36189730394898756
0.12069372345445965,0.741623407267579,0.00412930627654554,0.09780556866446437,0.05297310051911279,0.038697498820198205,0.7640396413402548,0.28669183577159035,0.13709296838131194
0.25402158419873755,0.8290572184891061,0.09499083689676237,0.5401140297291794,0.5474445123192833,0.5281001832620648,0.6040521278761963,0.101608633679495,0.8584809611077173
0.36581084046521833,0.39938556067588327,0.06265086679833223,0.9251700680272109,0.05903006363835857,0.6525126179504059,0.9412991002852754,0.5850340136054422,0.7928461707263551
0.3624355005159959,0.6778809769521844,0.6171998624011008,0.5365669074647402,0.8822841417268662,0.6185070519435845,0.9212934296525628,0.5329205366357069,0.35968352253181973
0.2588480222068008,0.5183900069396252,0.7406893361091834,0.27052972472819803,0.9481841313902383,0.6820495026601897,0.2864908628267407,0.23317140874392783,0.3753180661577608
0.3183555417828737,0.7530213820886272,0.9515545914678236,0.9523809523809523,0.41101125916744136,0.8550769548600351,0.7988844127672761,0.247185208139655,0.021588678855490134
0.36100243206090726,0.300095167600719,0.8343026329702865,0.01459236544358676,0.8832610764513059,0.40869197419900605,0.6672306228190759,0.5838003595220471,0.9433224066828804
0.6464939705225548,0.6987494417150514,0.5696739615899955,0.5394149173738276,0.42597141581062975,0.9799017418490398,0.19908441268423405,0.12103617686467173,0.7775792764627065
0.9893679858239811,0.6260090569009648,0.48631620397716085,0.36365426265012796,0.1654853317582201,0.018015357353809804,0.4039180941130144,0.08190588698562709,0.3004528450482378
0.872250229147571,0.11801099908340972,0.25240604949587536,0.5037809349220899,0.784372135655362,0.7208982584784601,0.5319660861594867,0.6780476626947755,0.04216315307057745
0.5579083837510804,0.3403197925669836,0.23141745894554883,0.6750216076058773,0.8590103716508211,0.7806828003457217,0.9078435609334485,0.5,0.5804883318928262
0.006622516556291391,0.9052090540674113,0.8859345655826826,0.2671740634575467,0.6369477117722645,0.6936838983888505,0.867846199466245,0.9146980330137392,0.6107541761391717
0.3436982162004094,0.3742080124768496,0.36923676771615166,0.9150989375182766,0.9133443805439126,0.2161029340091627,0.5102836533775221,0.3756701432888196,0.1771127790232966
0.5612382234185733,0.2511215791834904,0.6620681920143562,0.8295199641094662,0.6161956034096007,0.8503813369223867,0.7727680574248542,0.22364288918797667,0.7587483176312247
0.1988904009211766,0.4640427090966189,0.1379671307442688,0.7832094629959175,0.6248298963676332,0.7491887365225584,0.5307233329844028,0.6160368470637496,0.7428033078614048
0.7772920869760144,0.7126204886796682,0.8017260703878054,0.6580363147276396,0.2824478816408877,0.7535305985205111,0.0051557946648733465,0.6863931853844429,0.8776059179556154
0.7424257985005649,0.13361404950189998,0.33603779398171923,0.23549347848413268,0.7935709150662422,0.9440279346821403,0.7291773646913834,0.028550888363972477,0.21464516791619595
0.959039027982327,0.12371134020618557,0.8341310751104566,0.17903166421207659,0.19918998527245949,0.5114138438880707,0.8972754050073638,0.5906664212076583,0.9892304860088366
0.16125089131099113,0.6289090353468473,0.3399205459916471,0.6342059692370378,0.6202505857186513,0.0455332586329836,0.3816848324335337,0.7869002750331059,0.10247529795253132
0.5455620225536558,0.820389232448163,0.6562386322299018,0.6605129137868315,0.3112040742088032,0.02319025100036377,0.22762822844670788,0.6719716260458348,0.3967806475081848
0.7201930459581003,0.8501700120653723,0.21202149829987935,0.38038828562026983,0.7108698036634858,0.6831194471865746,0.6911264670395963,0.36305802347263355,0.9751014588132061
0.7991548303791525,0.2341824157764996,0.2985092146965606,0.07090034041554173,0.45345697851860545,0.26763704660171383,0.3526235473647142,0.5549947176898697,0.20906209649019838
0.4891917293233083,0.010526315789473684,0.9490601503759398,0.14398496240601505,0.1018796992481203,0.9090225563909774,0.5867481203007519,0.7515977443609022,0.9730263157894737
0.14351031072128395,0.23915274797051414,0.5924232527759634,0.8806569002519362,0.4357562750769805,0.15461416441168238,0.9844172809554913,0.9208733787440515,0.17262293552300084
0.32947269303201504,0.5564030131826742,0.8769303201506591,0.6846516007532957,0.3423728813559322,0.4485875706214689,0.010451977401129943,0.2711864406779661,0.6537664783427495
0.9556530669405284,0.41966202968910465,0.25198394174213423,0.30520026141350015,0.5382317243954813,0.8177574456166558,0.3503874521519933,0.33171505928484735,0.517598730277285
0.9355666951950116,0.7244161877980193,0.837999755471329,0.48624526225699966,0.6301503851326568,0.9947426335737866,0.04328157476464115,0.3057831030688348,0.7070546521579655
0.5416320228055589,0.028269390663974343,0.11628459436987766,0.7288276517401117,0.18434493407768143,0.5725145504216653,0.10583204656134933,0.7652927901175912,0.27734885378310964
0.4461801596351197,0.39806157354618016,0.809806157354618,0.7748004561003421,0.28255416191562144,0.4363740022805017,0.10467502850627138,0.4249714937286203,0.07309007981755987
0.6633892423366108,0.3739733950260266,0.02498554077501446,0.8292654713707345,0.13128976286871025,0.958126084441874,0.8065934065934066,0.2986697513013302,0.41862348178137654
0.04968532626697582,0.10687865739207243,0.9165286518714806,0.3072761400022082,0.17411946560671304,0.3829082477641603,0.6551838357071879,0.4338081042287733,0.23815833057303742
0.4281291463954003,0.6735957540911102,0.9778858911985847,0.5469924812030075,0.6196373286156568,0.4536709420610349,0.8062804068996019,0.20411322423706324,0.7281070322865989
0.19615252490553076,0.2833218825145998,0.5695637238062522,0.9463242871865338,0.7101511508072827,0.4382514599793885,0.45517004465819305,0.5004294057025077,0.02653727241497767
0.32311212814645307,0.7326086956521739,0.5625858123569794,0.9546910755148741,0.1425629290617849,0.6339816933638444,0.23180778032036614,0.7848970251716247,0.565903890160183
0.026488640034456768,0.531172606869818,0.42586411112307526,0.1869279638203941,0.2654247873371379,0.8935070528696026,0.43060191665769354,0.7799073974372779,0.15139442231075698
0.14958677685950414,0.9148760330578513,0.21747343565525384,0.4887839433293979,0.10991735537190082,0.8423848878394333,0.6900826446280992,0.8762691853600945,0.05348288075560803
0.05333333333333334,0.8419047619047619,0.7420728291316526,0.7359103641456582,0.4011204481792717,0.8497478991596639,0.9098039215686274,0.19563025210084034,0.350812324929972
0.10372371666862445,0.11699753318454129,0.04440267825678374,0.6831904146599319,0.6425466932926113,0.21261599906026077,0.5490426406672149,0.36203453541642194,0.23058851168800656
0.8894952251023193,0.8451044180921398,0.4997376429845734,0.8296778255850561,0.8485675306957708,0.5692097806695351,0.3286808689264351,0.5216706894742366,0.5199916045755063
0.47510455298666454,0.5041426655093506,0.5799731713090823,0.007969699360845893,0.08324784975933086,0.8553617927878167,0.3653436439674899,0.6206896551724138,0.30032352244930166
0.21899125064333505,0.4857179619145651,0.32179619145651056,0.07166752444673186,0.6748584662892434,0.7234945959855893,0.6776891405043747,0.3332475553268142,0.260036026762738
0.9669752791829722,0.17781807769399638,0.44087047819032166,0.7290254843943877,0.25493939104705543,0.09449269829149566,0.3318698100601317,0.5863319652572301,0.1866946645031975
0.5194641630409892,0.630753377604763,0.5333180673231052,0.4072589878635219,0.16155255324021067,0.8879093198992444,0.2287611632699794,0.7573849324479047,0.8553927181131211
0.3380411069009071,0.21977264898380985,0.9134228958548628,0.6432426225743484,0.5517280973705362,0.7062808588816167,0.2513491790102193,0.8703639912733954,0.31335400160753246
0.5515689757252812,0.3559502664298401,0.7881586737714624,0.13534635879218473,0.29248075784487865,0.17904085257548846,0.6473653049141503,0.06536412078152753,0.9854351687388988
0.4054376779645449,0.8661706622577385,0.855699458069257,0.756498576283641,0.6655644346468265,0.5287958115183246,0.007531918802241205,0.8387985670983742,0.30834940755028933
0.060168067226890755,0.11988795518207283,0.8461624649859943,0.9174229691876751,0.17635854341736695,0.6261064425770309,0.1538375350140056,0.4387675070028011,0.06834733893557422
0.9748420577617328,0.9847698555956679,0.2740297833935018,0.9085063176895307,0.8998194945848376,0.8692463898916968,0.49165162454873645,0.0430956678700361,0.6270306859205776
0.8539406223917968,0.9111720519852152,0.08072016215571719,0.5619410993203767,0.11589364492667223,0.8062477643972815,0.3088112555144867,0.9631572671992369,0.5550256349111721
0.9038557836755132,0.13545317976965449,0.6920380570856285,0.22045568352528794,0.8426389584376565,0.034301452178267404,0.4613169754631948,0.4266399599399099,0.20255383074611918
0.5917416278313645,0.8657201690690365,0.9164408800260107,0.9608756909071204,0.790072612983635,0.6159098298471876,0.1806654383873415,0.9268451284274412,0.2534951771973556
0.7348930166940982,0.346461321420174,0.13461086292029156,0.9007759228779685,0.48695038796143897,0.869033623324712,0.8007288972490008,0.044204091229720195,0.6247354808370562
0.4891304347826087,0.36062047101449274,0.3970788043478261,0.09069293478260869,0.7916666666666666,0.008378623188405798,0.14639945652173914,0.2458106884057971,0.6099411231884058
0.7365787079162875,0.02388535031847134,0.7123521383075523,0.2586442220200182,0.9944267515923567,0.9881710646041856,0.37829845313921745,0.7866242038216561,0.8630573248407644
0.6501995059851795,0.25356260687820636,0.0442713281398442,0.9109823294698841,0.08493254797643929,0.9722591677750333,0.5076002280068402,0.4443283298498955,0.8760212806384191
0.5923115327009486,0.5164253619570645,0.6827758362456315,0.6983524712930604,0.12531203195207188,0.5169246130803794,0.708836744882676,0.3233150274588118,0.3373939091362956
0.5501641736592484,0.3891827800072966,0.3931959139000365,0.0290952207223641,0.67493615468807,0.9563115651222182,0.6353520612914995,0.12194454578620942,0.852882159795695
0.6008627773212818,0.8788003286770748,0.3243631881676253,0.4847986852917009,0.9105382087099425,0.4314913722267872,0.05505341002465078,0.05125308134757601,0.518898931799507
0.6524923480542195,0.10242675994752952,0.06263664188893747,0.09838216003498032,0.5884346305203323,0.654787931788369,0.043288150415391344,0.0984914735461303,0.9194359422824662
0.6070250339607995,0.35988744420725793,0.10945080535610324,0.25984863186493307,0.28614399379002525,0.9183970502619833,0.2554822433533864,0.16543760915971278,0.673394139336309
0.024955436720142603,0.7714165880255845,0.3195973576596414,0.513054419628814,0.7651253014574814,0.43137254901960786,0.39792387543252594,0.9708503722344553,0.17825311942959002
0.7605126575574621,0.5655121279525473,0.2113123609787099,0.49168520283868233,0.705751509374007,0.932634254845885,0.26331956360555026,0.9919500052960492,0.7025738798856054
0.595731454620804,0.8126813095731454,0.20192706174886035,0.6381060920016577,0.193327807708247,0.03864484044757563,0.7103191048487361,0.46301284707832574,0.8792996270203066
0.7183933274802459,0.06233538191395961,0.9206540825285338,0.0660667251975417,0.06935908691834942,0.8447102721685689,0.3084942932396839,0.16802019315188763,0.8698419666374012
0.41698297364710984,0.6597982865199002,0.6716191302461773,0.8004554820518381,0.656436395184904,0.2941112677583776,0.42999674655677256,0.2725300943498536,0.9797202038824423
0.6374935266701192,0.4730191610564474,0.153909891248058,0.09414810978767478,0.6595546349041947,0.7029518384256862,0.3418953909891248,0.3450025893319524,0.8512687726566546
0.7020115922263893,0.4381179679509035,0.23570860325036935,0.01602454824411865,0.5322195704057279,0.54733492442323,0.8528241845664281,0.4144789180588703,0.5543811796795091
0.4623762376237624,0.40737073707370736,0.3308030803080308,0.9903190319031904,0.01639163916391639,0.3944994499449945,0.7134213421342134,0.6961496149614962,0.571947194719472
0.5534312051894845,0.9591441902810971,0.009218163195629908,0.15693638329350176,0.29862296574485037,0.8083532491180152,0.860475702742688,0.8139296688289519,0.7066120405143963
0.22488917720834684,0.3150610876851552,0.5196237431073629,0.3625256784517245,0.6339063682560276,0.4533463077089415,0.6063358200886583,0.5560601146069846,0.25743323602551627
0.8735375452031483,0.9162944054456499,0.45213784301212506,0.7699425654116145,0.22569666028504573,0.9067219740480749,0.5771112529249096,0.8302488832163369,0.8014252286747501
0.7310151878497202,0.41127098321342925,0.541466826538769,0.5531574740207834,0.52328137490008,0.05755395683453238,0.17086330935251798,0.7183253397282174,0.2829736211031175
0.6767432486900443,0.8224506247480855,0.9722893994357114,0.9744054816606207,0.21432889963724305,0.6375453446191052,0.14338976219266425,0.8199314792422411,0.8347440548166062
0.9622768608959246,0.3378241832266756,0.8739193892444145,0.9124284270798249,0.4560458066689121,0.06410688222746155,0.021443808240709555,0.8482092736050297,0.8066689120916133
0.9547013720742534,0.2712873284907183,0.21085552865213883,0.4269572235673931,0.9389628732849071,0.8066989507667474,0.8355528652138822,0.4261501210653753,0.6091606133979015
0.8979652020053082,0.38297454045021134,0.1329991153052197,0.9637275140076673,0.16209574363511256,0.26019856482846754,0.8724073527966185,0.24427405878305317,0.056325567679150694
0.615608722521409,0.17780524410700096,0.4272093228568906,0.36664606691974927,0.9830493511079721,0.5650216297342633,0.5923898649245166,0.574468085106383,0.18663370707159885
0.0586583126282813,0.4745597925893918,0.37247488387166466,0.6660905260883656,0.8382845414281085,0.11364372906989305,0.6987144863346657,0.5139894134168738,0.17737928054445284
0.31261120996441283,0.163923487544484,0.3243994661921708,0.10409252669039146,0.8627669039145908,0.7037366548042705,0.6223309608540926,0.37377669039145905,0.30015569395017794
0.33403361344537813,0.8845773603559071,0.7810182896688087,0.666584280771132,0.5355907068709836,0.7093425605536332,0.7008156203657934,0.8627039050914483,0.3395946613939694
0.07151806222593443,0.5991856337439967,0.3872415953226143,0.3390060555439549,0.7950511589058259,0.23814992691584883,0.4046773856755064,0.0589893505951138,0.5507412821048235
0.5271639975674032,0.43482667747820797,0.3773565781471721,0.22937360632475168,0.23140077032231907,0.7359618893168457,0.1854855057774174,0.4555037502533955,0.3917494425299007
0.7007018338238623,0.1313108444645687,0.2756395743717455,0.8572560561467059,0.42970341860991623,0.6859859633235228,0.8137876386687797,0.5990491283676703,0.39121575730133573
0.9716136406934655,0.49485616307868163,0.4719946656506001,0.12926271670794437,0.7400457229948562,0.6967993903600685,0.8582587159458944,0.6955610592493808,0.89626595542008
0.8127292085650065,0.22169643913403525,0.38459718443156277,0.22950431799361173,0.9679403761977996,0.8147403288773216,0.6648527150124216,0.14574707204542767,0.42505619306755
0.2772920869760144,0.7952252858103565,0.05032503922887245,0.7746021071508631,0.16577000672494957,0.32638421878502577,0.28771575879847566,0.6728312037659717,0.20937009639094373
0.6838666282309984,0.7671759392716441,0.6215047564139522,0.36734889977899493,0.8134909195733641,0.5070625540501585,0.4736235226289997,0.3312193715768233,0.47227827423849333
0.09929664873810509,0.028340918494000826,0.41849400082747207,0.041477037649979315,0.89480761274307,0.12970624741414977,0.8158874637980968,0.3077161770790236,0.7128671907323127
0.7406053683609366,0.35853797829811535,0.2251284980011422,0.05779554540262707,0.9803540833809252,0.06944603083952028,0.11067961165048544,0.7141062250142776,0.48463735008566533
0.6741076242855603,0.5077105575326216,0.507926237463604,0.9910492828642294,0.12466300010783997,0.4199288256227758,0.42327186455300336,0.7161652108271326,0.4783780869190122
0.6589180503481521,0.8882699517943224,0.8946973754686663,0.43117300482056775,0.9268344938403856,0.014783074450990894,0.7257632565613283,0.9407605784681307,0.2579539367970005
0.8283281039892425,0.9806364858807709,0.4147915732855222,0.8658000896458987,0.08901837740923353,0.9275661138502913,0.7524876736889288,0.0709995517705065,0.9204840878529807
0.34738074334211294,0.3424056189640035,0.4665886254999512,0.6446200370695542,0.6079406887132963,0.6711540337528046,0.1887620719929763,0.8659642961662277,0.2350014632718759
0.33904761904761904,0.2858201058201058,0.44074074074074077,0.37915343915343913,0.4002116402116402,0.26476190476190475,0.03312169312169312,0.48074074074074075,0.5825396825396826
0.18311860553239864,0.6570670708601744,0.19353921940128838,0.7176013641530883,0.10174308450170519,0.16331943918150815,0.1856763925729443,0.8132815460401668,0.31773399014778325
